12.5316,20.7764,0.0,0.0,0.0,-0.6249,0.7807
12.5761,19.7452,0.0,0.0,0.0,-0.6559,0.7548
12.5872,18.6567,0.0,0.0,0.0,-0.6794,0.7338
12.565,17.5301,0.0,0.0,0.0,-0.6839,0.7296
12.4983,16.4607,0.0,0.0,0.0,-0.7134,0.7007
12.4872,15.3818,0.0,0.0,0.0,-0.7028,0.7114
12.5539,14.3315,0.0,0.0,0.0,-0.7059,0.7083
12.4093,13.3194,0.0,0.0,0.0,-0.717,0.697
12.3982,12.2596,0.0,0.0,0.0,-0.7492,0.6624
12.2203,11.2093,0.0,0.0,0.0,-0.7495,0.662
11.9979,10.054,0.0,0.0,0.0,-0.7531,0.6579
11.6087,8.9655,0.0,0.0,0.0,-0.7836,0.6213
11.3085,8.0108,0.0,0.0,0.0,-0.8002,0.5998
10.8637,7.0846,0.0,0.0,0.0,-0.8101,0.5862
10.3634,5.977,0.0,0.0,0.0,-0.8079,0.5893
9.8741,4.9363,0.0,0.0,0.0,-0.8312,0.556
9.3737,4.0483,0.0,0.0,0.0,-0.8617,0.5074
8.6954,3.1604,0.0,0.0,0.0,-0.8907,0.4545
7.9616,2.3106,0.0,0.0,0.0,-0.9049,0.4255
7.2721,1.5086,0.0,0.0,0.0,-0.9237,0.3831
6.3937,0.8211,0.0,0.0,0.0,-0.9484,0.3171
5.4374,0.3055,0.0,0.0,0.0,-0.9589,0.2838
4.47,-0.2387,0.0,0.0,0.0,-0.9658,0.2594
3.4582,-0.6397,0.0,0.0,0.0,-0.9734,0.229
2.4685,-1.0407,0.0,0.0,0.0,-0.9745,0.2242
1.5456,-1.4895,0.0,0.0,0.0,-0.9747,0.2237
0.6116,-1.9191,0.0,0.0,0.0,-0.9736,0.2283
-0.4893,-2.3488,0.0,0.0,0.0,-0.9712,0.2381
-1.49,-2.8166,0.0,0.0,0.0,-0.9626,0.2709
-2.4796,-3.2845,0.0,0.0,0.0,-0.9547,0.2975
-3.4693,-3.781,0.0,0.0,0.0,-0.9663,0.2573
-4.6368,-4.1629,0.0,0.0,0.0,-0.9829,0.1842
-5.7043,-4.3157,0.0,0.0,0.0,-0.9874,0.1582
-6.8496,-4.4875,0.0,0.0,0.0,-0.9951,0.0992
-7.8726,-4.5735,0.0,0.0,0.0,-0.9971,0.0757
-8.9512,-4.688,0.0,0.0,0.0,-0.9947,0.1027
-10.0298,-4.8599,0.0,0.0,0.0,-0.9912,0.1325
-11.0194,-5.1368,0.0,0.0,0.0,-0.9881,0.1535
-12.0202,-5.3946,0.0,0.0,0.0,-0.9895,0.1442
-13.0654,-5.6333,0.0,0.0,0.0,-0.9925,0.1223
-14.1106,-5.8815,0.0,0.0,0.0,-0.9973,0.0735
-15.2782,-5.872,0.0,0.0,0.0,-0.9992,0.0398
-16.468,-6.0248,0.0,0.0,0.0,-0.9996,0.0276
-17.5021,-6.0916,0.0,0.0,0.0,-0.9989,0.0479
-18.5362,-6.4544,0.0,0.0,0.0,-0.9965,0.0838
-19.6815,-6.569,0.0,0.0,0.0,-0.9971,0.0757
-20.8046,-6.7027,0.0,0.0,0.0,-0.9981,0.061
-21.8943,-6.6931,0.0,0.0,0.0,-0.9979,0.0655
-23.0952,-6.6931,0.0,0.0,0.0,1.0,0.0045
-24.0959,-6.4735,0.0,0.0,0.0,0.9988,0.0483
-25.0967,-6.1584,0.0,0.0,0.0,0.9946,0.1033
-26.0641,-5.7765,0.0,0.0,0.0,0.9895,0.1445
-27.2205,-5.2991,0.0,0.0,0.0,0.9866,0.1633
-28.1657,-4.8313,0.0,0.0,0.0,0.9771,0.2128
-29.0441,-4.2488,0.0,0.0,0.0,0.9689,0.2474
-29.867,-3.676,0.0,0.0,0.0,0.9636,0.2675
-30.7676,-2.8835,0.0,0.0,0.0,0.9444,0.3289
-31.6016,-2.1387,0.0,0.0,0.0,0.9226,0.3858
-32.2021,-1.3081,0.0,0.0,0.0,0.8928,0.4504
-32.6579,-0.3628,0.0,0.0,0.0,0.8515,0.5244
-32.8581,0.7256,0.0,0.0,0.0,0.8316,0.5554
-33.2139,1.7186,0.0,0.0,0.0,0.8203,0.572
-33.3918,2.8835,0.0,0.0,0.0,0.807,0.5906
-33.5809,3.9719,0.0,0.0,0.0,0.7918,0.6107
-33.6253,5.1368,0.0,0.0,0.0,0.756,0.6545
-33.4141,6.2539,0.0,0.0,0.0,0.7007,0.7135
-33.0583,7.3901,0.0,0.0,0.0,0.6355,0.7721
-32.5468,8.469,0.0,0.0,0.0,0.5674,0.8234
-32.0909,9.5288,0.0,0.0,0.0,0.5072,0.8619
-31.3347,10.3595,0.0,0.0,0.0,0.4512,0.8924
-30.5341,11.0852,0.0,0.0,0.0,0.4048,0.9144
-29.5667,11.7822,0.0,0.0,0.0,0.3289,0.9444
-28.377,12.4123,0.0,0.0,0.0,0.297,0.9549
-27.3873,12.7942,0.0,0.0,0.0,0.2043,0.9789
-26.0975,13.0807,0.0,0.0,0.0,0.1383,0.9904
-24.8076,13.3671,0.0,0.0,0.0,0.1303,0.9915
-23.5845,13.5676,0.0,0.0,0.0,0.1181,0.993
-22.3835,13.6536,0.0,0.0,0.0,0.0919,0.9958
-21.305,13.8827,0.0,0.0,0.0,0.092,0.9958
-20.2264,13.9496,0.0,0.0,0.0,0.0931,0.9957
-19.1811,14.1405,0.0,0.0,0.0,0.0621,0.9981
-18.0581,14.131,0.0,0.0,0.0,0.045,0.999
-17.0017,14.2933,0.0,0.0,0.0,0.0398,0.9992
-15.9565,14.2933,0.0,0.0,0.0,0.0474,0.9989
-14.9112,14.3792,0.0,0.0,0.0,0.0859,0.9963
-13.7659,14.4938,0.0,0.0,0.0,0.0822,0.9966
-12.5984,14.7134,0.0,0.0,0.0,0.0824,0.9966
-11.3197,14.8757,0.0,0.0,0.0,0.0714,0.9975
-10.0965,15.0189,0.0,0.0,0.0,0.1057,0.9944
-8.9178,15.3818,0.0,0.0,0.0,0.1442,0.9896
-7.8393,15.5918,0.0,0.0,0.0,0.1401,0.9901
-6.8607,15.8114,0.0,0.0,0.0,0.1639,0.9865
-5.7377,16.0597,0.0,0.0,0.0,0.1543,0.988
-4.6591,16.2984,0.0,0.0,0.0,0.1494,0.9888
-3.6138,16.6803,0.0,0.0,0.0,0.1421,0.9898
-2.6131,16.919,0.0,0.0,0.0,0.1183,0.993
-1.5234,17.32,0.0,0.0,0.0,0.1614,0.9869
-0.5115,17.7688,0.0,0.0,0.0,0.2188,0.9758
0.467,18.2844,0.0,0.0,0.0,0.2679,0.9634
1.5345,18.8668,0.0,0.0,0.0,0.2683,0.9633
2.5241,19.3919,0.0,0.0,0.0,0.2306,0.9731
3.6027,19.7834,0.0,0.0,0.0,0.17,0.9854
4.6924,20.0221,0.0,0.0,0.0,0.1152,0.9933
5.7488,20.2417,0.0,0.0,0.0,0.0656,0.9978
6.7495,20.3658,0.0,0.0,0.0,0.0226,0.9997
7.7725,20.2226,0.0,0.0,0.0,-0.0338,0.9994
8.8066,20.0794,0.0,0.0,0.0,-0.0918,0.9958
9.8407,19.6402,0.0,0.0,0.0,-0.1736,0.9848
10.8081,19.1723,0.0,0.0,0.0,-0.2495,0.9684
11.6199,18.4944,0.0,0.0,0.0,-0.3048,0.9524
12.3871,17.721,0.0,0.0,0.0,-0.3712,0.9285
12.9542,16.8904,0.0,0.0,0.0,-0.4382,0.8989
13.5213,16.0502,0.0,0.0,0.0,-0.4933,0.8699
